Ghi,Ebh,Dni,Dhi,cloud_opacity,period_end,Period
5,0,0,5,79,2021-03-28T18:00:00Z,PT30M
49,7,44,42,18,2021-03-28T17:30:00Z,PT30M
74,7,40,66,37,2021-03-28T17:00:00Z,PT30M
118,13,45,104,37,2021-03-28T16:30:00Z,PT30M
219,78,202,141,15,2021-03-28T16:00:00Z,PT30M
221,40,96,181,31,2021-03-28T15:30:00Z,PT30M
262,57,119,205,32,2021-03-28T15:00:00Z,PT30M
258,26,49,232,43,2021-03-28T14:30:00Z,PT30M
172,4,7,168,66,2021-03-28T14:00:00Z,PT30M
199,6,9,193,64,2021-03-28T13:30:00Z,PT30M
330,33,53,296,43,2021-03-28T13:00:00Z,PT30M
269,13,20,255,55,2021-03-28T12:30:00Z,PT30M
387,65,99,321,36,2021-03-28T12:00:00Z,PT30M
480,193,291,286,20,2021-03-28T11:30:00Z,PT30M
468,179,284,289,20,2021-03-28T11:00:00Z,PT30M
483,250,384,234,12,2021-03-28T10:30:00Z,PT30M
507,350,543,157,0,2021-03-28T10:00:00Z,PT30M
452,304,507,148,0,2021-03-28T09:30:00Z,PT30M
348,176,338,171,10,2021-03-28T09:00:00Z,PT30M
323,197,418,126,0,2021-03-28T08:30:00Z,PT30M
233,104,298,129,7,2021-03-28T08:00:00Z,PT30M
163,60,209,102,9,2021-03-28T07:30:00Z,PT30M
87,19,99,68,18,2021-03-28T07:00:00Z,PT30M
29,2,16,26,47,2021-03-28T06:30:00Z,PT30M
6,0,0,6,47,2021-03-28T06:00:00Z,PT30M
1,0,0,1,13,2021-03-28T05:30:00Z,PT30M
0,0,0,0,19,2021-03-28T04:30:00Z,PT30M
0,0,0,0,26,2021-03-28T04:00:00Z,PT30M
0,0,0,0,62,2021-03-28T03:30:00Z,PT30M
0,0,0,0,58,2021-03-28T03:00:00Z,PT30M
0,0,0,0,57,2021-03-28T02:30:00Z,PT30M
0,0,0,0,46,2021-03-28T02:00:00Z,PT30M
0,0,0,0,49,2021-03-28T01:30:00Z,PT30M
0,0,0,0,71,2021-03-28T01:00:00Z,PT30M
0,0,0,0,76,2021-03-28T00:30:00Z,PT30M
0,0,0,0,90,2021-03-28,PT30M
0,0,0,0,61,2021-03-27T23:30:00Z,PT30M
0,0,0,0,66,2021-03-27T23:00:00Z,PT30M
0,0,0,0,71,2021-03-27T22:30:00Z,PT30M
0,0,0,0,76,2021-03-27T22:00:00Z,PT30M
0,0,0,0,70,2021-03-27T21:30:00Z,PT30M
0,0,0,0,63,2021-03-27T21:00:00Z,PT30M
0,0,0,0,48,2021-03-27T20:30:00Z,PT30M
0,0,0,0,44,2021-03-27T20:00:00Z,PT30M
0,0,0,0,37,2021-03-27T19:30:00Z,PT30M
0,0,0,0,31,2021-03-27T19:00:00Z,PT30M
2,1,2,2,0,2021-03-27T18:30:00Z,PT30M
15,2,9,13,30,2021-03-27T18:00:00Z,PT30M
71,25,147,46,0,2021-03-27T17:30:00Z,PT30M
143,74,340,69,0,2021-03-27T17:00:00Z,PT30M
224,143,473,81,0,2021-03-27T16:30:00Z,PT30M
305,215,576,90,0,2021-03-27T16:00:00Z,PT30M
361,237,547,125,5,2021-03-27T15:30:00Z,PT30M
337,184,365,152,26,2021-03-27T15:00:00Z,PT30M
463,314,561,149,11,2021-03-27T14:30:00Z,PT30M
480,261,442,218,17,2021-03-27T14:00:00Z,PT30M
529,315,506,214,14,2021-03-27T13:30:00Z,PT30M
344,163,257,181,46,2021-03-27T13:00:00Z,PT30M
503,202,315,300,24,2021-03-27T12:30:00Z,PT30M
412,215,325,198,39,2021-03-27T12:00:00Z,PT30M
362,79,123,283,45,2021-03-27T11:30:00Z,PT30M
545,338,529,207,16,2021-03-27T11:00:00Z,PT30M
366,228,365,138,41,2021-03-27T10:30:00Z,PT30M
195,12,21,183,65,2021-03-27T10:00:00Z,PT30M
179,11,21,168,65,2021-03-27T09:30:00Z,PT30M
72,1,1,71,84,2021-03-27T09:00:00Z,PT30M
317,158,405,158,15,2021-03-27T08:30:00Z,PT30M
204,47,143,157,31,2021-03-27T08:00:00Z,PT30M
173,56,216,117,19,2021-03-27T07:30:00Z,PT30M
64,6,32,57,54,2021-03-27T07:00:00Z,PT30M
7,0,0,7,88,2021-03-27T06:30:00Z,PT30M
4,0,0,4,71,2021-03-27T06:00:00Z,PT30M
0,0,0,0,75,2021-03-27T05:30:00Z,PT30M
0,0,0,0,54,2021-03-27T05:00:00Z,PT30M
0,0,0,0,56,2021-03-27T04:30:00Z,PT30M
0,0,0,0,62,2021-03-27T04:00:00Z,PT30M
0,0,0,0,7,2021-03-27T03:30:00Z,PT30M
0,0,0,0,23,2021-03-27T03:00:00Z,PT30M
0,0,0,0,0,2021-03-27T02:30:00Z,PT30M
0,0,0,0,41,2021-03-27T02:00:00Z,PT30M
0,0,0,0,55,2021-03-27T01:30:00Z,PT30M
0,0,0,0,84,2021-03-27T01:00:00Z,PT30M
0,0,0,0,81,2021-03-27T00:30:00Z,PT30M
0,0,0,0,83,2021-03-27,PT30M
0,0,0,0,79,2021-03-26T23:30:00Z,PT30M
0,0,0,0,70,2021-03-26T23:00:00Z,PT30M
0,0,0,0,67,2021-03-26T22:30:00Z,PT30M
0,0,0,0,81,2021-03-26T22:00:00Z,PT30M
0,0,0,0,81,2021-03-26T21:30:00Z,PT30M
0,0,0,0,89,2021-03-26T21:00:00Z,PT30M
0,0,0,0,57,2021-03-26T20:30:00Z,PT30M
0,0,0,0,48,2021-03-26T20:00:00Z,PT30M
0,0,0,0,19,2021-03-26T19:30:00Z,PT30M
0,0,0,0,29,2021-03-26T19:00:00Z,PT30M
