Ghi,Ghi90,Ghi10,Ebh,Dni,Dni10,Dni90,Dhi,air_temp,Zenith,Azimuth,cloud_opacity,period_end,Period
294,374,141,82,167,56,475,211,5,60,-117,40,2021-04-12T08:30:00Z,PT30M
184,558,25,4,8,64,860,180,6,56,-125,67,2021-04-12T09:00:00Z,PT30M
339,561,133,44,73,3,636,295,6,52,-133,46,2021-04-12T09:30:00Z,PT30M
561,677,68,317,487,1,887,244,8,49,-141,17,2021-04-12T10:00:00Z,PT30M
644,718,190,448,662,9,913,196,8,47,-151,10,2021-04-12T10:30:00Z,PT30M
493,749,144,172,248,3,922,321,8,45,-161,34,2021-04-12T11:00:00Z,PT30M
441,768,131,59,82,1,925,382,8,44,-171,42,2021-04-12T11:30:00Z,PT30M
518,774,197,129,177,3,915,388,8,43,178,32,2021-04-12T12:00:00Z,PT30M
558,765,233,198,275,5,927,359,8,44,167,26,2021-04-12T12:30:00Z,PT30M
565,744,236,231,327,6,913,333,8,45,157,23,2021-04-12T13:00:00Z,PT30M
545,711,217,241,362,5,912,302,8,48,147,23,2021-04-12T13:30:00Z,PT30M
502,667,184,193,301,4,892,308,8,50,138,25,2021-04-12T14:00:00Z,PT30M
448,611,144,161,273,2,880,287,8,54,130,26,2021-04-12T14:30:00Z,PT30M
388,545,108,124,235,2,856,264,8,58,122,28,2021-04-12T15:00:00Z,PT30M
331,472,81,98,208,2,824,232,6,62,115,29,2021-04-12T15:30:00Z,PT30M
275,393,60,77,189,0,779,198,6,66,108,29,2021-04-12T16:00:00Z,PT30M
220,310,46,57,169,0,687,162,6,70,102,28,2021-04-12T16:30:00Z,PT30M
164,224,37,46,177,0,629,119,6,75,95,26,2021-04-12T17:00:00Z,PT30M
107,140,26,32,184,0,519,75,5,80,90,23,2021-04-12T17:30:00Z,PT30M
51,64,14,11,71,0,152,39,4,84,84,17,2021-04-12T18:00:00Z,PT30M
5,6,2,1,5,0,11,4,4,89,78,13,2021-04-12T18:30:00Z,PT30M
0,0,0,0,0,0,0,0,4,94,72,9,2021-04-12T19:00:00Z,PT30M
0,0,0,0,0,0,0,0,4,98,66,8,2021-04-12T19:30:00Z,PT30M
0,0,0,0,0,0,0,0,2,102,60,6,2021-04-12T20:00:00Z,PT30M
0,0,0,0,0,0,0,0,2,106,53,6,2021-04-12T20:30:00Z,PT30M
0,0,0,0,0,0,0,0,2,109,46,5,2021-04-12T21:00:00Z,PT30M
0,0,0,0,0,0,0,0,2,113,39,4,2021-04-12T21:30:00Z,PT30M
0,0,0,0,0,0,0,0,2,115,32,4,2021-04-12T22:00:00Z,PT30M
0,0,0,0,0,0,0,0,2,117,24,2,2021-04-12T22:30:00Z,PT30M
0,0,0,0,0,0,0,0,2,119,15,1,2021-04-12T23:00:00Z,PT30M
